Library ID,NCBI Biosample ID,type,condition,sex,tissue,reads,read length,Uniquely mapped (%),Multi-mappers (%),featureCount_unique,featureCount_ambiguous,featureCount_multimapped,featureCount_nofeatures
Fe_An_BF_1,SRS556128,single,BF,female,antenna,148890949,1x101,77.45%,12.33%,59.07%,1.41%,28.85%,10.67%
Fe_An_BF_2,SRS556129,single,BF,female,antenna,66850110,1x101,79.81%,9.10%,65.94%,1.46%,22.27%,10.33%
Fe_An_BF_3,SRS556130,single,BF,female,antenna,97562716,1x101,77.76%,11.53%,60.38%,1.42%,27.42%,10.78%
Fe_An_BF_4,SRS556131,single,BF,female,antenna,88890094,1x101,75.43%,14.78%,55.69%,1.44%,33.36%,9.51%
Fe_An_O_2,SRS556140,single,O,female,antenna,82219610,1x101,80.44%,11.01%,60.67%,1.33%,26.29%,11.72%
Fe_An_O_3,SRS556141,single,O,female,antenna,86677045,1x101,78.12%,9.84%,62.44%,1.34%,24.49%,11.72%
Fe_An_O_4,SRS556142,single,O,female,antenna,113120307,1x101,82.19%,9.66%,64.89%,1.43%,22.98%,10.70%
Fe_An_SF_1,SRS556038,paired,SF,female,antenna,44790494,2x76,82.14%,4.17%,76.48%,1.41%,11.54%,10.56%
Fe_An_SF_2,SRS556039,paired,SF,female,antenna,45749073,2x76,86.04%,3.70%,83.33%,1.27%,9.54%,5.86%
Fe_An_SF_3,SRS556040,paired,SF,female,antenna,44639107,2x76,86.26%,3.72%,83.55%,1.34%,9.55%,5.56%
Fe_An_SF_4,SRS556041,paired,SF,female,antenna,38651405,2x76,86.52%,3.77%,82.83%,1.37%,9.71%,6.08%
Fe_An_SF_5,SRS556098,single,SF,female,antenna,154866358,1x101,79.04%,13.09%,57.60%,1.42%,29.83%,11.15%
Fe_An_SF_6,SRS556099,single,SF,female,antenna,132088629,1x101,78.67%,10.84%,61.59%,1.49%,25.96%,10.96%
Fe_An_SF_7,SRS556100,single,SF,female,antenna,103980894,1x101,81.79%,9.94%,63.79%,1.51%,23.56%,11.14%
Fe_An_SF_8,SRS556101,single,SF,female,antenna,93334771,1x101,79.44%,12.53%,57.61%,1.39%,28.98%,12.02%
Fe_At_O_1,SRS556071,paired,O,female,abdominaltip,71585020,2x101,84.20%,9.28%,69.04%,1.55%,19.68%,9.73%
Fe_At_O_2,SRS556072,paired,O,female,abdominaltip,55261999,2x101,85.36%,9.34%,69.79%,1.49%,19.59%,9.12%
Fe_At_O_3,SRS556073,paired,O,female,abdominaltip,67695335,2x101,85.36%,8.93%,70.38%,1.54%,18.87%,9.21%
Fe_At_O_4,SRS556074,paired,O,female,abdominaltip,63782286,2x101,85.98%,8.49%,71.43%,1.55%,18.09%,8.93%
Fe_At_O_5,SRS556152,single,O,female,abdominaltip,42154267,1x101,80.83%,11.56%,64.44%,1.34%,26.15%,8.06%
Fe_At_O_6,SRS556153,single,O,female,abdominaltip,90179832,1x101,82.99%,10.33%,67.23%,1.44%,23.35%,7.98%
Fe_At_O_7,SRS556154,single,O,female,abdominaltip,72367363,1x101,81.30%,12.53%,63.12%,1.43%,27.74%,7.71%
Fe_At_SF_1,SRS556109,single,SF,female,abdominaltip,49442618,1x101,80.12%,11.77%,64.59%,1.43%,26.59%,7.39%
