Internal gene ID,Vectorbase Identifier,Display name,Gene family,OrthoDB category,OrthoDB D. melanogaster ortholog,BlastX hit(s) to D. melanogaster proteome,Evidence for name,,,,,,,,,,,,,,,
gene11370,AAEL012141,Ace,Ach processing,EOG8WM7K6,Ace,Ace-CG6414-alpha-Est8-alpha-Est2-alpha-Est9-Nlg2,orthoDB,,,,,,,,,,,,,,,
gene5774,AAEL000511,Ace,Ach processing,NA,NA,Ace-Gli-CG6414-Nlg1,BLASTX,,,,,,,,,,,,,,,
gene3122,AAEL017181,mAChR-A ,ACh receptor,EOG8BCHD3,mAChR-A,mAChR-A-TyrR-CG18208-Dop1R1,orthoDB,,,,,,,,,,,,,,,
gene14421,AAEL007832,mAChR-B,ACh receptor,EOG8SBHP8,mAChR-B,mAChR-B-5-HT1B-mAChR-A-5-HT1A-5-HT7-CG18208,orthoDB,,,,,,,,,,,,,,,
gene564,AAEL015037,mAChR-B,ACh receptor,EOG8SBHP8,mAChR-B,mAChR-B-mAChR-A-CG18208-5-HT1A-5-HT7,orthoDB,,,,,,,,,,,,,,,
gene14773,AAEL004006,nAChR_1,ACh receptor,EOG8Q2H66,nAChRalpha1,nAChRalpha1-nAChRalpha2-nAChRbeta2-nAChRalpha4-nAChRalpha3,orthoDB,,,,,,,,,,,,,,,
gene14777,AAEL004032,nAChR_2,ACh receptor,EOG8JMBFQ,nAChRalpha2,nAChRalpha1-nAChRalpha2-nAChRbeta2-nAChRalpha4-nAChRalpha3,orthoDB,,,,,,,,,,,,,,,
gene12703,AAEL012106,nAChR_3/4,ACh receptor,EOG87H8FH-EOG87H8FH,nAChRalpha4-nAChRalpha3,nAChRalpha4-nAChRalpha3-nAChRbeta2-nAChRalpha2,orthoDB,,,,,,,,,,,,,,,
gene6721,AAEL004061,nAChR_3/4,ACh receptor,EOG87H8FH-EOG87H8FH,nAChRalpha4-nAChRalpha3,nAChRalpha3-nAChRalpha4-nAChRalpha1-nAChRbeta2-nAChRalpha2,orthoDB,,,,,,,,,,,,,,,
gene13200,AAEL008055,nAChR_5/6/7,ACh receptor,EOG8CG315-EOG8CG315-EOG8CG315,nAChRalpha5-nAChRalpha7-nAChRalpha6,nAChRalpha6-nAChRalpha5,orthoDB,,,,,,,,,,,,,,,
gene570,AAEL018352,nAChR_5/6/7,ACh receptor,EOG8CG315-EOG8CG315-EOG8CG315,nAChRalpha6-nAChRalpha7-nAChRalpha5,nAChRalpha6-nAChRalpha7-nAChRalpha5,orthoDB,,,,,,,,,,,,,,,
gene7110,AAEL007664,nAChR_5/6/7,ACh receptor,EOG8CG315-EOG8CG315-EOG8CG315,nAChRalpha6-nAChRalpha7-nAChRalpha5,nAChRalpha7-nAChRalpha5-nAChRalpha6,orthoDB,,,,,,,,,,,,,,,
gene7611,AAEL010570,nAChR_1,ACh receptor,EOG80GGGJ,nAChRbeta1,nAChRbeta1-nAChRalpha4-nAChRalpha1-nAChRbeta2-nAChRalpha2,orthoDB,,,,,,,,,,,,,,,
gene14800,AAEL018308,nAChR_2 ,ACh receptor,EOG8XD6GQ,nAChRbeta2,nAChRalpha1-nAChRalpha2-nAChRbeta2-nAChRalpha4-nAChRalpha3,orthoDB,,,,,,,,,,,,,,,
gene12837,AAEL014238,Ddc,biogenic amine processing,EOG8W3WCS,Ddc,amd-Ddc-Tdc2-Hdc,orthoDB,,,,,,,,,,,,,,,
